NO;NAMA BARANG;HARGA KONTER;HARGA KONSUMEN;STOK BARANG
430;LCD TS INFINIX NOTE 10PRO X695 MGKU;;;
431;LCD TS INFINIX SMART 6 NFC OG SUPER ;;;
432;LCD TS INFINIX HOT 11S INCELL;;;
433;LCD TS ZENFONE 3MAX 5,5 ZC553KL INCELL;;;
434;LCD TS ZENFONE 4MAX ZC520KL ORG PUTIH ;;;
435;LCD TS ZENFONE MAX MI ZB555KL INCEL ;;;
436;LCD TS ZENFONE MAX PRO M1 ZB601KL/ ZB602KL ORG;;;
437;LCD TS ZENFONE MAX M2 ZB632KL/ ZB633KL INCEL;;;
438;LCD TS ZENFONE MAX PRO M2 ZB631KL ORG ;;;
439;LCD TS ZENFONE 4MAX PRO ZC554KL ORG PUTIH;;;
440;LCD TS ZENFONE 4MAX PRO ZC554KL ORG HITAM ;;;
441;LCD TS ZENFONE LIVE 1 ZA550KL AA;;;
442;LCD TS ZENFONE ZB501KL AAA;;;
443;LCD TS NOKIA 3.4/5.4 INCELL;;;
444;LCD TS NOKIA 6 ORG ;;;
445;LCD TS NOKIA 5.1PLUS ORG;;;
446;LCD TS NOKIA 3.1PLUS ORG;;;
447;LCD TS HUAWEI P20PRO INCELL;;;
448;LCD TS HUAWEI Y5/L22 ORG;;;
449;LCD TS IPHONE 8/8G AAA PUTIH;;;
450;LCD TS IPHONE 8/8G AAA HITAM;;;
451;LCD TS IPHONE 6S AAA HITAM;;;
452;LCD TS IPHONE 6S ORI HITAM;;;
453;LCD TS IPHONE 6S AAA PUTIH ;;;
454;LCD TS IPHONE 6PLUS AAA PUTIH;;;
455;LCD TS IPHONE 6PLUS AAA HITAM ;;;
456;LCD TS IPHONE 6PLUS PK HITAM;;;
457;LCD TS IPHONE X JK INCELL;;;
458;LCD TS IPHONE X GX OLED;;;
459;LCD TS IPHONE X BRADER;;;
460;LCD TS IPHONE 7PLUS AAA PUTIH;;;
461;LCD TS IPHONE 7PLUS AAA HITAM;;;
462;LCD TS IPHONE 7PLUS ORI PUTIH;;;
463;LCD TS IPHONE 6G AA PUTIH;;;
464;LCD TS IPHONE 6G AA HITAM;;;
465;LCD TS IPHONE 6G PK PUTIH;;;
466;LCD TS IPHONE 6SPLUS AA HITAM;;;
467;LCD TS IPHONE 6SPLUS AA PUTIH;;;
468;LCD TS IPHONE XR JK INCELL;;;
469;LCD TS IPHONE 8PLUS AAA HITAM;;;
470;LCD TS IPHONE 8PLUS AAA PUTIH;;;
471;LCD TS IPHONE 11 JK INCELL;;;
472;LCD TS IPHONE 11 MOSHI INCELL;;;
473;LCD TS IPHONE 11 GX ;;;
474;LCD TS IPHONE 7G AA HITAM;;;
475;LCD TS IPHONE 7G AA PUTIH;;;
476;LCD TS IPHONE 11PRO JK INCELL;;;
477;LCD TS IPHONE 11PRO MOSHI;;;
478;LCD TS IPHONE 11PRO MAX MOSHI;;;
479;LCD TS IPHONE 11PRO MAX JK INCELL;;;
480;FLX TC VIVO V5 ORI;;;
481;FLX TC VIVO V11 PRO ORI;;;
482;FLX TC VIVO V11 PRO BIASA ;;;
483;FLX TC VIVO V17 PRO ORI;;;
484;FLX TC VIVO V17 PRO BIASA ;;;
485;FLX TC VIVO V9 ORI;;;
486;FLX TC VIVO V9 BIASA ;;;
487;FLX TC VIVO V19 GLOBAL ORI ;;;
488;FLX TC VIVO V7/ Y75 ORI;;;
489;FLX TC VIVO V7/ Y75 BIASA;;;
490;FLX TC VIVO V17 ORI;;;
491;FLX TC VIVO V17 BIASA ;;;
492;FLX TC VIVO V7 PLUS ORI ;;;
493;FLX TC VIVO V7 PLUS BIAS A ;;;
494;FLX TC VIVO Y33S ORI;;;
495;FLX TC VIVO Y55 BIASA ;;;
496;FLX TC VIVO Y22 2022 BIASA ;;;
497;FLX TC VIVO Y22 2022 ORI;;;
498;FLX TC VIVO V20 2020 BIASA ;;;
499;FLX TC VIVO S1 PRO/ V15 PRO BIASA ;;;
500;FLX TC VIVO Y35A BIASA ;;;
501;FLX TC VIVO Y30 BIASA ;;;
502;FLX TC VIVO X50 5G BIASA ;;;
503;FLX TC VIVO Y50 BIASA ;;;
504;FLX TC VIVO Y50 ORI ;;;
505;FLX TC VIVO Y65/ Y66;;;
506;FLX TC VIVO Y31 BIASA ;;;
507;FLX TC VIVO Y51 BIASA ;;;
508;FLX TC VIVO Y51 ORI ;;;
509;FLX TC VIVO Y19 2019 BIASA ;;;
510;FLX TC VIVO T1 5G BIASA ;;;
511;FLX TC VIVO Y53 BIASA ;;;
512;FLX TC VIVO Y53 ORI ;;;
513;FLX TC VIVO Y21 BIASA ;;;
514;FLX TC VIVO Y21 ORI ;;;
515;FLX TC VIVO X35 BIASA;;;
516;FLX TC VIVO Y17/ Y11 2019 BIASA;;;
517; FLX TC VIVO Y15/ Y13 BIASA;;;
518;FLX TC VIVO V15/ 51 BIASA;;;
519;FLX TC VIVO V15/ 51 ORI ;;;
520;FLX TC VIVO Y30 ORI ;;;
521;FXX TC VIVO V5+/ X9 BIASA ;;;
522;FLX TC VIVO V25 5G/ V2202 BIASA ;;;
523;FLLX TC VIVO V5 LITE/ V5/ Y67 BIASA ;;;
524;FLX TC VIVO Y16 2022 BIASA;;;
525;FLX TC VIVO Y16 2022 ORI;;;
526;FLX TC VIVO V3 BIASA;;;
527;FLX TC VIVO Y12 2019 BIASA ;;;
528;FLX TC VIVO Y12 2019 ORI ;;;
529;FLX  TC VIVO Y69 BIASA;;;
530;FLX TC VIVO Y71 BIASA ;;;
531;FLX TC VIVO Y83 BISA ;;;
532;FLX TC VIVO Y91/ Y93/ Y95 ORI;;;
533;FLX TC VIVO Y20/ Y21S/ Y20S/ Y20I BIASA;;;
534;FLX TC VIVO Y81 BIASA ;;;
535;FLX TC VIVO Y81 ORI;;;
536;FLX TC VIVO V11 ORI;;;
537;FLX TC VIVO V11 BIASA ;;;
538;FLX TC VIVO Y765 5G ORI;;;
539;FLX TC VIVO S7/ S7T 5G/ V20 PRO ORI ;;;
540;FLX TC VIVO 25X/ Z1 PRO BIASA;;;
541;FLX TC VIVO Y01/ Y10/ Y51S BIASA;;;
542;FLX TC VIVO Y36/ Y78 5G BIASA;;;
543;FLX TC VIVO V23 5G/ S12 5G BIASA;;;
544;FLX TC VIVO Y73S 5G BIASA;;;
545;FLX TC VIVO S9/ S10 5G BIASA;;;
546;FLX TC VIVO Y72/ Y53S 5G BIASA;;;
547;FLX TC VIVO Y7S BIASA ;;;
548;FLX TC VIVO Y7S ORI  ;;;
549;FLX TC VIVO V19 GLOBAL BIASA ;;;
550;FLX TC VIVO V21 5G BIASA ;;;
551;FLX TC VIVO V2050 BIASA;;;
552;FLX TC VIVO Y52S 5G BIASA;;;
553;FLX TC VIVO Y02 ORI ;;;
554;FLX TC VIVO Y70S ORI;;;
555;FLX TC IPHONE 13PRO ORI;;;
556;FLX TC IPHONE 12/ 12PRO ORI;;;
557;FLX TC IPHONE 12/ 12PRO HITAM BIASA;;;
558;FLX TC IPHONE 11 HITAM ORI;;;
559;FLX TC IPHONE 11 PUTIH ORI;;;
560;FLX TC IPHONE 11 HITAM BIASA;;;
561;FLX TC IPHONE 11 PUTIH BIASA ;;;
562;FLX TC IPHONE XS PUTIH ORI;;;
563;FLX TC IPHONE XS PUTIH BIASA;;;
564;FLX TC IPHONE XS HITAM BIASA;;;
565;FLX TC IPHONE 8+ HITAM ORI;;;
566;FLX TC IPHONE 8+ PUTIH ORI;;;
567;FLX TC IPHONE 8+ HITAM BIASA;;;
568;FLX TC IPHONE 8+ PUTIH  BIASA;;;
569;FLX TC IPHONE 8 HITAM BIASA;;;
570;FLX TC IPHONE 8 HITAM ORI;;;
571;FLX TC IPHONE 8 PUTIH ORI;;;
572;FLX TC IPHONE X HITAM ORI ;;;
573;FLX TC IPHONE X HITAM BIASA;;;
574;FLX TC IPHONE X PUTIH BIASA ;;;
575;FLX TC IPHONE XR HITAM ORI ;;;
576;FLX TC IPHONE XR HITAM BIASA;;;
577;FLX TC IPHONE XR PUTIH BIASA;;;
578;FLX TC IPHONE 13 HITAM ORI;;;
579;FLX TC IPHONE 13 PUTIH ORI;;;
580;FLX TC IPHONE 13 PUTIH BIASA;;;
581;FLX TC IPHONE 13 HITAM BIASA ;;;
582;FLX TC IPHONE 6S ORI;;;
583;FLX TC IPHONE 6S PUTIH BIASA;;;
584;FLX TC IPHONE 6S HITAM BIASA;;;
585;FLX TC IPHONE 6G PUTIH ORI ;;;
586;FLX TC IPHONE 6G HITAM BIASA;;;
587;FLX TC IPHONE 6G PUTIH BIASA;;;
588;FLX TC IPHONE 6+ PUTIH ORI;;;
589;FLX TC IPHONE 6+ HITAM ORI;;;
590;FLX TC IPHONE 6+ PUTIH BIASA;;;
591;FLX TC IPHONE 6+ HITAM BIASA;;;
592;FLX TC IPHONE 7+ HITAM BIASA;;;
593;FLX TC IPHONE 7+ PUTIH BIASA;;;
594;FLX TC IPHONE 7G ORI;;;
595;FLX TC IPHONE 7G HITAM BIASA;;;
596;FLX TC IPHONE 7G PUTIH BIASA;;;
597;FLX TC IPHONE IPAD 4 BIASA;;;
598;FLX TC IPHONE 5G PUTIH BIASA;;;
599;FLX TC IPHONE 5S HITAM BIASA;;;
600;FLX TC IPHONE 3G HITAM BIASA;;;
601;FLX TC IPHONE 3G PUTIH  BIASA ;;;
602;FLX TC IPHONE 14 PRO BIASA ;;;
603;FLX TC IPHONE 14+ BIASA;;;
604;FLX TC IPHONE 14 HITAM BIASA;;;
605;FLX TC IPHONE 14 PUTIH BIASA;;;
606;FLX TC IPHONE 13 PROMAX HITAM BIASA;;;
607;FLX TC IPHONE 13 PRO HITAM BIASA;;;
608;FLX TC IPHONE 4G HITAM BIASA;;;
609;FLX TC IPHONE 11 PRO HITAM BIASA;;;
610;FLX TC IPHONE 11 PRO PUTIH BIASA;;;
611;FLX TC IPHONE 11 PROMAX HITAM BIASA;;;
612;FLX TC IPHONE 11 PROMAX PUTIH BIASA;;;
613;FLX TC IPHONE 12 PROMAX HITAM BIASA;;;
614;FLX TC IPHONE XS MAX PUTIH BIASA;;;
615;FLX TC IPHONE XS MAX HITAM BIASA;;;
616;FLX TC MEIZU M3 NOTE (L681H) BIASA;;;
617;FLX TC MEIZU M3 NOTE (M681H) BIASA;;;
618;FLX TCC MEIZU M6 BIASA;;;
619;FLX TC LG P325 BIASA;;;
620;FLX TC LAVA IRIS 870 BIASA;;;
621;FLX TC COLPAD E502 BIASA;;;
622;FLX TC COLPAD E501 BIASA;;;
623;FLX TC HUAWEI CLONE S6 BIASA;;;
624;FLX TC HUAWEI HONOR 7S BIASA;;;
625;FLX TC HUAWEI HONOR 7A BIASA;;;
626;FLX TC HUAWEI HONOR 60 SE;;;
627;FLX TC LENOVO A7010 BIASA;;;
628;FLX TC LENOVO P70 BIASA;;;
629;FLX TC LENOVO A2020 BIASA;;;
630;FLX TC LENOVO K910 BIASA;;;
631;FLX TC LENOVO U163 P1 BIASA;;;
632;FLX TC LENOVO + BAZER K900 BIASA;;;
633;FLX TC LENOVO P.780 BIASA;;;
634;FLX TC LENOVO X2 BIASA;;;
635;FLX TC LENOVO K6 NOTE BIASA;;;
636;FLX TC LENOVO K520,S5 BIASA;;;
637;FLX TC LENOVO A2107 , A2207 BIASA;;;
638;FLX TC OPPO R.3001 BIASA;;;
639;FLX TC OPPO R.1001 BIASA;;;
640;FLX TC OPPO R.1201,A31 BIASA;;;
641;FLX TC OPPO A71 (2017) BIASA;;;
642;FLX TC OPPO F3 BIASA;;;
643;FLX TC OPPO F11 PRO BIASA;;;
644;FLX TC REALME 10 PRO+ BIASA;;;
645;FLX TC REALME 10,V20 BIASA;;;
646;FLX TC REALME 3 PRO BIASA;;;
647;FLX TC REALME 5 PRO,Q BIASA;;;
648;FLX TC REALME 5 BIASA;;;
649;FLX TC REALME 5i,C3 (2020) BIASA;;;
650;FLX TC OPPO X909 BIASA ;;;
651;FLX TC OPPO RENO 4 BIASA;;;
652;FLX TC OPPO RENO 4 (4G) BIASA;;;
653;FLX TC OPPO F11,A9X,A9 BIASA;;;
654;FLX TC OPPO F9,REALME 2 PRO BIASA;;;
655;FLX TC OPPO A96 (5G),F21S PRO,F21 PRO BIASA;;;
656;FLX TC OPPO A83 BIASA;;;
657;FLX TC OPPO A91 BIASA ;;;
658;FLX TC OPPO F7,A3 BIASA;;;
659;FLX TC OPPO F3+ BIASA;;;
660;FLX TC OPPO F1+,R9 BIASA;;;
661;FLX TC OPPO A59,F1S BIASA;;;
662;FLX TC OPPO A39,A57 BIASA;;;
663;FLX TC REALME 6 PRO BIASA;;;
664;FLX TC REALME V15 (5G);;;
665;FLX TC OPPO F1,A35 BIASA;;;
666;FLX TC OPPO A5,MIROR 5 BIASA;;;
667;FLX TC OPPO A33W BIASA;;;
668;FLX TC OPPO X9077 BIASA;;;
669;FLX TC OPPO F5,A73;;;
670;FLX TC OPPO RENO 6 PRO (5G) BIASA;;;
671;FLX TC OPPO RENO 3 (5G) BIASA;;;
672;FLX TC OPPO RENO 4 (5G) BIASA;;;
673;FLX TC OPPO RENO 8 PRO+ BIASA;;;
674;FLX TC OPPO RENO 3 PRO (5G) BIASA;;;
675;FLX TC OPPO A3S (CPH1853),REALME 2,REALME C1 BIASA;;;
676;FLX TC OPPO A3S (CPH1853),REALME 2,REALME C1 ORI;;;
677;FLX TC OPPO F17 ORI;;;
678;FLX TC OPPO A12 (2020) ORI ;;;
679;FLX TC OPPO A12 (2020) BIASA ;;;
680;FLX TC REALME 6 ORI;;;
681;FLX TC REALME 6 BIASA;;;
682;FLX TC REALME C55 ORI ;;;
683;FLX TC REALME C55 BIASA;;;
684;FLX TC REALME C25/ NARZO 50A ORI;;;
685;FLX TC REALME C25/ NARZO 50A BIASA;;;
686;FLX TC REALME V5 (5G) BIASA;;;
687;FLX TC REALME XT BIASA;;;
688;FLX TC OPPO RENO 8PRO (5G) BIASA;;;
689;FLX TC OPPO A54/ A55 (5G)/ A56 (5G)/ REALME 8 (5G) ORI;;;
690;FLX TC OPPO A54/ A55 (5G)/ A56 (5G)/ REALME 8 (5G) BIASA ;;;
691;FLX TC REALME C35 ORI;;;
692;FLX TC REALME C35 BIASA ;;;
693;FLX TC REALME C30/ C33 ORI ;;;
694;FLX TC REALME C30/ C33 BIASA ;;;
695;FLX TC REALME C20/ C21/ C11 ORI;;;
696;FLX TC REALME C20/ C21/ C11 BIASA;;;
697;FLX TC OPPO A16 ORI;;;
698;FLX TC OPPO A16 BIASA;;;
699;FLX TC OPPO A31 (2020) ORI;;;
700;FLX TC OPPO K3/ REALME X BIASA;;;
701;FLX TC OPPO RENO 2 BIASA;;;
702;FLX TC OPPO V25 (5G) BIASA;;;
703;FLX TC OPPO A95 (5G) BIASA;;;
704;FLX TC OPPO A3S (CPH 1803) BIASA;;;
705;FLX TC OPPO A58 (5G) BIASA;;;
706;FLX TC OPPO A53/ A72 (5G) BIASA ;;;
707;FLX TC OPPO A7/ AX7 BIASA;;;
708;FLX TC REALME 10 (4G) BIASA;;;
709;FLX TC REALME 10 (4G) ORI ;;;
710;FLX TC REALME 1 BIASA;;;
711;FLX TC REALME C21Y BIASA;;;
712;FLX TC REALME C21Y ORI ;;;
713;FLX TC REALME C31 BIASA;;;
714;FLX TC REALME C31 ORI ;;;
715;FLX TC OPPO X7 (5G)/ Q2 PRO BIASA ;;;
716;FLX TC OPPO RENO 5/ RENO 6 (4G) BIASA;;;
717;FLX TC OPPO OPPO A5S/ A15S/ A11K BIASA ;;;
718;FLX TC OPPO OPPO A5S/ A15S/ A11K ORI;;;
719;FLX TC OPPO A52/ A92 (2020) ORI;;;
720;FLX TC OPPO A52/ A92 (2020) BIASA;;;
721;FLX TC OPPO A36 BIASA ;;;
722; FLX TC OPPO RENO 2F BIASA ;;;
723;FLX TC OPPO RENO 7 (5G) BIASA ;;;
724;FLX TC REALME 8I BIASA ;;;
725;FLX TC REALME 8I ORI ;;;
726;FLX TC REALME 9/ 9PRO+ BIASA ;;;
727;FLX TC REALME 8/ 8PRO/ A74 (4G) BIASA ;;;
728;FLX TC REALME 8/ 8PRO/ A74 (4G) ORI ;;;
729;FLX TC REALME C11/ C12/ C15 BIASA;;;
730;FLX TC REALME C11/ C12/ C15 ORI;;;
731;FLX TC REALME 7/ NARZO 20 PRO/ 30 ORI;;;
732;FLX TC REALME 7/ NARZO 20 PRO/ 30 BIASA;;;
733;FLX TC REALME 7 PRO ORI;;;
734;FLX TC REALME 7 PRO BIASA;;;
735;FLX TC OPPO A1K/ REALME C2 ORI;;;
736;FLX TC OPPO A1K/ REALME C2 BIASA;;;
737;FLX TC OPPO A15 (2020) ORI;;;
738;FLX TC OPPO A15 (2020) BIASA;;;
739;FLX TC OPPO A5 (2020) ORI ;;;
740;FLX TC OPPO A57 (2020) BIASA;;;
741;FLX TC OPPO A57 (2020) ORI ;;;
742;FLX TC OPPO RENO 5 (5G) BIASA ;;;
743;FLX TC OPPO RENO 5 (5G) ORI ;;;
744;FLX TC OPPO RENO 7PRO (5G) BIASA;;;
745;FLX TC OPPO RENO 5PRO (5G) BIASA ;;;
746;FLX TC OPPO RENO 7 (4G) BIASA;;;
747;FLX TC OPPO V3 (5G) BIASA;;;
748;FLX TC OPPO A37 BIASA;;;
749;FLX TC OPPO RENO 8T BIASA;;;
750;FLX TC OPPO A17 BIASA;;;
751;FLX TC OPPO R2017/ R2010 BIASA;;;
752;FLX TC REALME 7I BIASA;;;
753;FLX TC REALME 6I BIASA;;;
754;FLX TC REALME 11 (5G) BIASA;;;
755;FLX TC OPPO A11W BIASA;;;
756;FLX TC REALME 3 BIASA;;;
757;FLX TC OPPO A53/ A32/ A33 (2020) ORI;;;
758;FLX TC OPPO A93 (4G)/ F1 PRO/ RENO 4F/ 5F BIASA;;;
759;FLX TC OPPO RENO 9PRO (5G) BIASA;;;
760;FLX TC OPPO RENO 6 (5G) BIASA;;;
761;FLX TC OPPO RENO 4SE/ Q3 PRO (5G) BIASA;;;
762;FLX TC OPPO K5/ REALME X2 BIASA;;;
763;FLX TC OPPO K9S (5G) BIASA;;;
764;FLX TC XIAOMI REDMI NOTE 11 (5G)/ NOTE 11S (5G)/ POCO M4 PRO BIASA;;;
765;FLX TC XIAOMI REDMI NOTE 11 (5G)/ NOTE 11S (5G)/ POCO M4 PRO ORI;;;
766;FLX TC XIAOMI REDMI NOTE 9T/ NOTE 9 (5G) BIASA;;;
767;FLX TC XIAOMI REDMI NOTE 11E PRO BIASA;;;
768;FLX TC XIAOMI REDMI 12C/ POCO C55 BIASA;;;
769;FLX TC XIAOMI REDMI K20/ MI9T/ MI9T PRO BIASA;;;
770;FLX TC XIAOMI REDMI X3/ X3 NFC ;;;
771;FLX TC XIAOMI REDMI 1S BIASA;;;
772;FLX TC XIAOMI REDMI 2 BIASA;;;
773;FLX TC XIAOMI REDMI 2 ORI;;;
774;FLX TC XIAOMI REDMI 3S BIASA;;;
775;FLX TC XIAOMI REDMI 3S ORI;;;
776;FLX TC XIAOMI REDMI 4 BIASA;;;
777;FLX TC XIAOMI REDMI 5 BIASA;;;
778;FLX TC XIAOMI REDMI 5 ORI;;;
779;FLX TC XIAOMI REDMI 4A BIASA;;;
780;FLX TC XIAOMI REDMI 4A ORI ;;;
781;FLX TC XIAOMI REDMI 3 ORI ;;;
782;FLX TC XIAOMI REDMI 3 BIASA ;;;
783;FLX TC XIAOMI REDMI 4X BIASA ;;;
784;FLX TC XIAOMI REDMI 4X ORI;;;
785;FLX TC XIAOMI REDMI 12 LITE BIASA;;;
786;FLX TC XIAOMI REDMI NOTE 12 PRO (5G) BIASA;;;
787;FLX TC XIAOMI REDMI NOTE 8 PRO BIASA;;;
788;FLX TC XIAOMI REDMI NOTE 8 PRO ORI;;;
789;FLX TC XIAOMI REDMI 6/ 6A BIASA;;;
790;FLX TC XIAOMI REDMI 6/ 6A ORI;;;
791;FLX TC XIAOMI REDMI 9A/9C/10A ORI;;;
792;FLX TC XIAOMI REDMI 9A/9C/10A BIASA;;;
793;FLX TC  XIAOMI REDMI 9 ORI;;;
794;FLX TC  XIAOMI REDMI 9 BIASA;;;
795;FLX TC XIAOMI REDMI 5A  ORI;;;
796;FLX TC XIAOMI REDMI 5A  BIASA;;;
797;FLX TC XIAOMI REDMI MI8 LITE ORI;;;
798;FLX TC XIAOMI REDMI MI8 LITE BIASA;;;
799;FLX TC XIAOMI REDMI NOTE 12 (5G) ORI ;;;
800;FLX TC XIAOMI REDMI K30I (5G) ORI;;;
801;FLX TC XIAOMI REDMI X3/ X3 NFC ORI;;;
802;FLX TC XIAOMI REDMI NOTE 12 (4G) ORI;;;
803;FLX TC XIAOMI REDMI NOTE 3G BIASA;;;
804;FLX TC XIAOMI REDMI NOTE 3 BIASA ;;;
805;FLX TC XIAOMI REDMI NOTE 3 ORI ;;;
806;FLX TC XIAOMI REDMI NOTE 4G (DUAL SIM) BIASA;;;
807;FLX TC XIAOMI REDMI NOTE 5/ 5 PRO BIASA;;;
808;FLX TC XIAOMI REDMI NOTE 5/ 5 PRO ORI;;;
809;FLX TC XIAOMI REDMI NOTE 4X BIG BIASA ;;;
810;FLX TC XIAOMI REDMI NOTE 4X BIG ORI ;;;
811;FLX TC XIAOMI REDMI NOTE 2 ORI;;;
812;FLX TC XIAOMI REDMI NOTE 2 BIASA;;;
813;FLX TC XIAOMI REDMI NOTE 9 PRO (4G)/ NOTE 9S ORI;;;
814;FLX TC XIAOMI REDMI NOTE 9 PRO (4G)/ NOTE 9S BIASA;;;
815;FLX TC XIAOMI REDMI NOTE 9/ 10X (4G) ORI;;;
816;FLX TC XIAOMI REDMI NOTE 9/ 10X (4G) BIASA;;;
817;FLX TC XIAOMI REDMI NOTE 4 SMALL ORI;;;
818;FLX TC XIAOMI REDMI NOTE 4 SMALL BIASA;;;
819;FLX TC XIAOMI REDMI NOTE 5A/ NOTE 5A PRIME ORI;;;
820;FLX TC XIAOMI REDMI NOTE 5A/ NOTE 5A PRIME BIASA;;;
821;FLX TC XIAOMI REDMI MI11 ORI;;;
822;FLX TC XIAOMI REDMI NOTE 10 (5G) ORI;;;
823;FLX TC XIAOMI REDMI NOTE 10 PRO (4G) ORI;;;
824;FLX TC XIAOMI REDMI NOTE 10 PRO (4G) BIASA ;;;
825;FLX TC XIAOMI REDMI NOTE 3 PRO BIASA ;;;
826;FLX TC XIAOMI REDMI NOTE 3 PRO ORI;;;
827;FLX TC XIAOMI REDMI NOTE 7/ NOTE 7 PRO BIASA ;;;
828;FLX TC XIAOMI REDMI NOTE 7/ NOTE 7 PRO ORI;;;
829;FLX TC XIAOMI REDMI 10 BIASA ;;;
830;FLX TC XIAOMI REDMI 10 ORI ;;;
831;FLX TC XIAOMI REDMI 10C/ POCO C40 BIASA ;;;
832;FLX TC XIAOMI REDMI 10C/ POCO C40 ORI ;;;
833;FLX TC XIAOMI REDMI MI NOTE / MI NOTE BAMBU BIASA ;;;
834;FLX TC XIAOMI REDMI K30 PRO/ POCO F2 PRO BIASA ;;;
835;FLX TC XIAOMI REDMI MIA2 LITE/ REDMI 6 PRO BIASA;;;
836;FLX TC XIAOMI REDMI  MI4S BIASA ;;;
837;FLX TC XIAOMI REDMI MIMAX BIASA ;;;
838;FLX TC XIAOMI REDMI MIPLAY BIASA;;;
839;FLX TC XIAOMI REDMI MI4I BIASA;;;
840;FLX TC XIAOMI REDMI MI4 BIASA;;;
841;FLX TC XIAOMI REDMI POCO F4/ K4 BIASA ;;;
842;FLX TC XIAOMI REDMI POCO F3/ K40 BIASA ;;;
843;FLX TC XIAOMI REDMI 12 PRO BIASA ;;;
844;FLX TC XIAOMI REDMI 5+ BIASA;;;
845;FLX TC XIAOMI REDMI NOTE 10 (4G)/ NOTE 10S BIASA;;;
846;FLX TC XIAOMI REDMI NOTE 4X SMALL BIASA ;;;
847;FLX TC XIAOMI REDMI NOTE 4X SMALL ORI;;;
848;FLX TC XIAOMI REDMI NOTE 6 PRO ORI;;;
849;FLX TC XIAOMI REDMI NOTE 6 PRO BIASA;;;
850;FLX TC XIAOMI REDMI 8/ 8A BIASA ;;;
851;FLX TC XIAOMI REDMI 8/ 8A ORI ;;;
852;FLX  TC XIAOMI REDMI 7A BIASA;;;
853;FLX TC XIAMI REDMI S2 BIASA;;;
854;FLX TC XIAMI REDMI S2 ORI;;;
855;FLX TC XIAOMI REDMI 12 (4G) BIASA ;;;
856;FLX TC XIAOMI REDMI NOTE 4 BIG BIASA;;;
857;FLX TC XIAOMI REDMI NOTE 4 BIG ORI ;;;
858;FLX TC XIAOMI REDMI X3 GT ORI ;;;
859;FLX TC XIAOMI REDMI MI5X/ MIA1 ORI;;;
860;FLX TC XIAOMI REDMI MI5X/ MIA1 BIASA;;;
861; FLX TC XIAOMI REDMI 9T/ POCO M3 ORI;;;
862; FLX TC XIAOMI REDMI 9T/ POCO M3 BIASA;;;
863;FLX TC XIAOMI REDMI MI4C BIASA;;;
864;FLX TC XIAOMI REDMI MI11 PRO BIASA ;;;
865;FLX TC XIAOMI REDMI MI6X/ MIA2 BIASA ;;;
866;FLX TC XIAOMI REDMI MI6X/ MIA2 ORI;;;
867;FLX TC XIAOMI REDMI MI10 LITE BIASA ;;;
868;FLX TC XIAOMI REDMI POCO F1 BIASA;;;
869;FLX TC XIAOMI REDMI POCO F1 ORI ;;;
870;FLX TC XIAOMI REDMI MI8 BIASA ;;;
871;FLX TC XIAOMI REDMI POCO F5 BIASA;;;
872;FLX TC XIAOMI REDMI K30/ POCO X2 BIASA ;;;
873;FLX TC XIAOMI REDMI MI5C BIASA ;;;
874;FLX TC XIAOMI REDMI MIMAX 3 BIASA ;;;
875;FLX TC XIAOMI REDMI MIMAX 4 BIASA;;;
876;FLX TC XIAOMI REDMI MI6 BIASA ;;;
877;FLX TC XIAOMI REDMI 10X (5G) BIASA ;;;
878;FLX TC XIAOMI REDMI NOTE 8 ORI ;;;
879;FLX TC XIAOMI REDMI NOTE 8 BIASA ;;;
880;FLX TC XIAOMI REDMI GO ORI;;;
881;FLX TC XIAOMI REDMI GO BIASA ;;;
882;FLX TC XIAOMI REDMI 7 ORI;;;
883;FLX TC XIAOMI REDMI 7 BIASA ;;;
884;FLX TC XIAOMI REDMI 4 PRIME/ 4PRO BIASA ;;;
885;FLX TC XIAOMI REDMI A1/A2/A1(+) ORI;;;
886;FLX TC XIAOMI REDMI NOTE (4G) SINGLE SIM BIASA ;;;
887;FLX TC INFINIX HOT 9 PLAY/ HOT 10 PLAY BIASA ;;;
888;FLX TC INFINIX X551/ HOT NOTE BIASA ;;;
889;FLX TC INFINIX X662/ HOT 11 BIASA ;;;
890;FLX TC INFINIX X6823/ SMART 6PLUS BIASA ;;;
891;FLX TC INFINIX X682/ HOT 10 BIASA;;;
892;FLX TC INFINIX X682/ HOT 10 ORI;;;
893;FLX TC INFINIX X693/ NOTE 10 BIASA ;;;
894;FLX TC INFINIX X552/ ZERO 3 BIASA ;;;
895;FLX TC INFINIX X6711/ NOTE 30 (5G)/ HOT 30 (5G) BIASA;;;
896;FLX TC INFINIX X608/ HOT 6 PRO BIASA ;;;
897;FLX TC INFINIX X653C/ SMART 4C BIASA ;;;
898;FLX TC INFINIX X625/S5/HOT 8/HOT 9/7 PRO BIASA ;;;
899; FLX TC INFINIX X6511/ SMART 6 BIASA ;;;
900;FLX TC INFINIX X6817/ HOT 12 BIASA ;;;
901;FLX TC INFINIX X609/ X624/ SMART 2/ HOT 7 BIASA ;;;
902;FLX TC INFINIX X6512/X665B/ TECNO SPARK GO (2020) BIASA ;;;
903;FLX TC INFINIX X665/ HOT 20I ORI;;;
904;FLX TC INFINIX X6512/ SMART 6 HD ORI ;;;
905;FLX TC INFINIX X697/ X698/ NOTE 11 PRO/ NOTE 11S ORI ;;;
