NO;NAMA BARANG;HARGA KONTER;HARGA KONSUMEN;STOK BARANG
98;LCD TS SAMSUNG A10/M10 OG SUPER ;;;
99;LCD TS SAMSUNG A10/M10 MOSHI ;;;
100;LCD TS SAMSUNG J200 AA HITAM;;;
101;LCD TS SAMSUNG J200 AA PUTIH ;;;
102;LCD TS SAMSUNG A20S/A207 AGWIN ;;;
103;LCD TS SAMSUNG A20S/A207 MEETO;;;
104;LCD TS SAMSUNG A31(4G)/A31(2020) SHINESTAR ;;;
105;LCD TS SAMSUNG A31(4G)/A31(2020) +FREM OLED ;;;
106;LCD TS SAMSUNG A31(4G)/A31(2020) MGKU ;;;
107;LCD TS SAMSUNG A33(5G)/A336 +FREM OLED ;;;
108;LCD TS SAMSUNG A11/M11 MGKU;;;
109;LCD TS SAMSUNG A11/M11 TICTOK;;;
110;LCD TS SAMSUNG A11/M11 SHINESTAR ;;;
111;LCD TS SAMSUNG A720/A7(2017) OLED HITAM;;;
112;LCD TS SAMSUNG A720/A7(2017) OLED GOLD ;;;
113;LCD TS SAMSUNG A720/A7(2017) AA HITAM;;;
114;LCD TS SAMSUNG A710/A7(2016) OLED ;;;
115;LCD TS SAMSUNG A710/A7(2016) AA HITAM;;;
116;LCD TS SAMSUNG J500 AA PUTIH ;;;
117;LCD TS SAMSUNG J500 AA+ PUTIH;;;
118;LCD TS SAMSUNG J500 AA+ HITAM;;;
119;LCD TS SAMSUNG J710 AA HITAM;;;
120;LCD TS SAMSUNG J3/J320 AA PUTIH ;;;
121;LCD TS SAMSUNG J700 AA HITAM;;;
122;LCD TS SAMSUNG J700 AA GOLD ;;;
123;LCD TS SAMSUNG J700 AA PUTIH ;;;
124;LCD TS SAMSUNG J600 SHINESTAR ;;;
125;LCD TS SAMSUNG A013/A01 CORE TICTOK;;;
126;LCD TS SAMSUNG A013/A01CORE MGKU;;;
127;LCD TS SAMSUNG A8(2018)/A530 TICTOK;;;
128;LCD TS SAMSUNG A8(2018)/A530 INCELL;;;
129;LCD TS SAMSUNG J260/J2CORE TICTOK;;;
130;LCD TS SAMSUNG J250/J2PRO INCELL ;;;
131;LCD TS OPPO A1(2023)/REALME C55 MOSHI;;;
132;LCD TS OPPO A1(2023)/REALME C55 ORG ORI;;;
133;LCD TS OPPO A1(2023)/REALME C55 SUPERSKY;;;
134;LCD TS OPPO A91(2020)/RENO3(5G) OLED ;;;
135;LCD TS OPPO A91(2020)/RENO3(5G) SHINESTAR ;;;
136;LCD TS OPPO RENO2F/REALME X INCELL;;;
137;LCD TS OPPO REALME X2PRO/RENO ACE SUPERSKY;;;
138;LCD TS OPPO REALME X2PRO/RENO ACE NOFINGER;;;
139;LCD TS OPPO RENO6PRO(5G) INCELL;;;
140;LCD TS OPPO REALME 3PRO INCELL;;;
141;LCD TS OPPO RENO4PRO(CPH2109) OLED ;;;
142;LCD TS OPPO RENO4PRO(CPH2109) INCELL;;;
143;LCD TS OPPO A78/RENO7/RENO8/RENO9 INCELL;;;
144;LCD TS OPPO REALME C11/C12/C15 MEETO;;;
145;LCD TS OPPO REALME C11/C12/C15 OG SUPER ;;;
146;LCD TS OPPO REALME C11/C12/C15 SHINESTAR ;;;
147;LCD TS OPPO A95(4G)/RENO7Z/RENO 8Z INCELL;;;
148;LCD TS OPPO A95(4G)/RENO 7Z/RENO 8Z OLED;;;
149;LCD TS OPPO RENO4/4F INCELL;;;
150;LCD TS OPPO A74/A54(5G) INCELL;;;
151;LCD TS OPPO A74/A54(5G) MGKU;;;
152;LCD TS OPPO A74/A54(5G) SUPERSKY ;;;
153;LCD TS OPPO REALME C53 MOSHI ;;;
154;LCD TS OPPO REALME C53 OG SUPER ;;;
155;LCD TS OPPO REALME C53 MEETO;;;
156;LCD TS OPPO REALME 5PRO OG SUPER;;;
157;LCD TS OPPO REALME 5PRO MGKU;;;
158;LCD TS OPPO A83 MGKU;;;
159;LCD TS OPPO REALME 3PRO MEETO;;;
160;LCD TS OPPO A55(5G)/REALME V11(5G) MEETO;;;
161;LCD TS OPPO A74(4G)/RENO 4SE/REALME 7PRO/REALME8/RENO5F INCELL;;;
162;LCD TS OPPO A74(4G)/RENO 4SE/REALME 7PRO/REALME8/RENO5F MOSHI;;;
163;LCD TS OPPO A74(4G)/RENO 4SE/REALME 7PRO/REALME8/RENO5F MGKU;;;
164;LCD TS OPPO A57(2020)/A17 MOSHI;;;
165;LCD TS OPPO A57(2020)/A17 OG SUPER ;;;
166;LCD TS OPPO A53(2020)/A54 OG SUPER ;;;
167;LCD TS OPPO A53(2020)/A54 MEETO;;;
168;LCD TS OPPO A5S/A7/A12/A11K/REALME3 OG SUPER;;;
169;LCD TS OPPO A5S/A7/A12/A11K/REALME3 MEETO;;;
170;LCD TS OPPO A5S/A7/A12/A11K/REALME3 SHINESTAR;;;
171;LCD TS OPPO REALME 10(5G) INCELL;;;
172;LCD TS OPPO REALME 10PRO(5G) INCELL;;;
173;LCD TS OPPO R17/R17PRO INCELL;;;
174;LCD TS OPPO R17/R17PRO OLED ;;;
175;LCD TS OPPO F1S/A59 MEETO;;;
176;LCD TS OPPO A37 OG SUPER PUTIH;;;
177;LCD TS OPPO A37 INCELL HITAM ;;;
178;LCD TS OPPO A16/REALME C25 MEETO;;;
179;LCD TS OPPO A16/REALME C25 SHINSTAR;;;
180;LCD TS OPPO REALME X3 OLED ;;;
181;LCD TS OPPO REALME X3 MOSHI ;;;
182;LCD TS OPPO REALME X3 MGKU;;;
183;LCD TS OPPO REALME6 MEETO;;;
184;LCD TS OPPO REALME6 OG SUPER ;;;
185;LCD TS OPPO REALME6 MGKU;;;
186;LCD TS OPPO RENO 3PRO/RENO 4PRO(CPH2089) INCELL;;;
187;LCD TS OPPO REALME C20/C21/C11 2021 MEETO;;;
188;LCD TS OPPO REALME C20/C21/C11 2021 WINFOCUS ;;;
189;LCD TS OPPO REALME C20/C21/C11 2021 MGKU;;;
190;LCD TS OPPO REALME 8I/A96 MEETO;;;
191;LCD TS OPPO A52(2020)/A92(2020)/A72 MEETO;;;
192;LCD TS OPPO A52(2020)/A92(2020)/A72 OG SUPER ;;;
193;LCD TS OPPO F1+(+FREM) MOSHI ;;;
194;LCD TS OPPO F9/F9PRO/REALME 2PRO SHINESTAR ;;;
195;LCD TS OPPO F9/F9PRO/REALME 2PRO MEETO;;;
196;LCD TS OPPO REALME XT MOSHI ;;;
197;LCD TS OPPO REALME XT/RENO Z OLED ;;;
198;LCD TS OPPO REALME XT/RENO Z INCELL;;;
199;LCD TS OPPO REALME C31/C30 MEETO;;;
200;LCD TS OPPO REALME C31/C30 MGKU;;;
201;LCD TS OPPO REALME C21Y MEETO;;;
202;LCD TS OPPO REALME C30/C33 OG SUPER ;;;
203;LCD TS OPPO REALME C30/C33 SHINESTAR ;;;
204;LCD TS OPPO A36/A76 INCELL;;;
205;LCD TS OPPO A36/A76 MEETO;;;
206;LCD TS OPPO A1K/REALME C2 MEETO;;;
207;LCD TS OPPO A39 AA PUTIH;;;
208;LCD TS OPPO A39 AA HITAM  ;;;
209;LCD TS OPPO REALME C35/NARZO 50APRIME MGKU;;;
210;LCD TS OPPO A5(2020)/A9(2020) MEETO ;;;
211;LCD TS OPPO A5(2020)/A9(2020) SHINESTAR ;;;
212;LCD TS OPPO A71 INCELL HITAM;;;
213;LCD TS OPPO A71 INCELL PUTIH;;;
214;LCD TS OPPO A71 ORI PUTIH;;;
215;LCD TS OPPO REALME 6PRO INCELL;;;
216;LCD TS OPPO F11 MEETO;;;
217;LCD TS OPPO F11 MGKU;;;
218;LCD TS OPPO F5/F5 YOUTH MGKU;;;
219;LCD TS OPPO F5/F5 YOUTH MEETO;;;
220;LCD TS OPPO F5/F5 YOUTH OG SUPER;;;
221;LCD TS OPPO F3PLUS ORG PUTIH;;;
222;LCD TS OPPO A3S/A5/REALME C1/REALME2 SHINESTAR;;;
223;LCD TS OPPO A3S/A5/REALME C1/REALME2 MEETO;;;
224;LCD TS OPPO F7 MGKU;;;
225;LCD TS OPPO F7 MEETO;;;
226;LCD TS OPPO F11PRO MGKU;;;
227;LCD TS OPPO F3(CPH1609) ORG HITAM;;;
228;LCD TS OPPO F3(CPH1609) ORG PUTIH ;;;
229;LCD TS OPPO A57 PUTIH;;;
230;LCD TS OPPO A57 HITAM;;;
231;LCD TS OPPO F7 YOUTH MGKU;;;
232;LCD TS OPPO F1 MOSHI;;;
233;LCD TS OPPO RENO CPH1917 INCELL;;;
234;LCD TS OPPO RENO5/RENO6/RENO7 (4G)(5G) NOFINGER;;;
235;LCD TS OPPO RENO5/RENO6/RENO7 (4G)(5G) OLED;;;
236;LCD TS VIVO Y12/Y15/Y17 MEETO;;;
237;LCD TS VIVO Y12/Y15/Y17 OG SUPER ;;;
238;LCD TS VIVO Y21(2021)/Y21S MEETO;;;
239;LCD TS VIVO Y21(2021)/Y21S SHINESTAR;;;
240;LCD TS VIVO Y20/Y20S/Y12S/Y21S SHINESTAR;;;
241;LCD TS VIVO Y20/Y20S/Y12S/Y21S MEETO;;;
242;LCD TS VIVO Y33S/Y33T/Y21T SHINESTAR;;;
243;LCD TS VIVO Y33S/Y33T/Y21T OG SUPER;;;
244;LCD TS VIVO Y33S/Y33T/Y21T WINFOCUS;;;
245;LCD TS VIVO Y30/Y30I SHINESTAR;;;
246;LCD TS VIVO Y30/Y30I TICTOK;;;
247;LCD TS VIVO Y71 MEETO PUTIH;;;
248;LCD TS VIVO Y71 MEETO HITAM ;;;
249;LCD TS VIVO Y71 TICTOK HITAM;;;
250;LCD TS VIVO Y71 OG SUPER PUTIH;;;
251;LCD TS VIVO Y91/Y93/Y95 MEETO;;;
252;LCD TS VIVO Y91/Y93/Y95 SHINESTAR ;;;
253;LCD TS VIVO Y91/Y93/Y95 OG SUPER ;;;
254;LCD TS VIVO Y81/Y83 OG SUPER;;;
255;LCD TS VIVO Y81/Y83 SHINESTAR ;;;
256;LCD TS VIVO Y35/Y33T(4G) MOSHI;;;
257;LCD TS VIVO Y35/Y33T(4G) WINFOCUS;;;
258;LCD TS VIVO Y35/Y33T(4G) TICTOK;;;
259;LCD TS VIVO V21(5G) OLED ;;;
260;LCD TS VIVO V21(5G) INCELL;;;
261;LCD TS VIVO V9/Y85 MEETO;;;
262;LCD TS VIVO V9/Y85 SHINESTAR ;;;
263;LCD TS VIVO Y19 MEETO;;;
264;LCD TS VIVO V20/V20SE MOSHI;;;
265;LCD TS VIVO V20/V20SE OLED ;;;
266;LCD TS VIVO V20/V20SE SHINESTAR ;;;
267;LCD TS VIVO V5PLUS AA HITAM;;;
268;LCD TS VIVO V5PLUS AA PUTIH;;;
269;LCD TS VIVO Y50 OG SUPER ;;;
270;LCD TS VIVO V15PRO INCELL;;;
271;LCD TS VIVO V15PRO ORG FINGER ;;;
272;LCD TS VIVO S1/S1PRO OLED;;;
273;LCD TS VIVO Y69 OG SUPER ;;;
274;LCD TS VIVO Y69 MEETO;;;
275;LCD TS VIVO Y65 AA HITAM;;;
276;LCD TS VIVO V23(5G) INCELL;;;
